D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_13_205.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_13_205.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_13_205.jpg, 0, 0, 0, 7.961145E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_13_306.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_13_306.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_13_306.jpg, 0, 0, 0, 8.262561E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_13_407.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_13_407.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_13_407.jpg, 0, 0, 0, 7.732301E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_13_507.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_13_507.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_13_507.jpg, 0, 0, 0, 7.984608E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_13_608.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_13_608.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_13_608.jpg, 0, 0, 0, 7.824248E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_13_710.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_13_710.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_13_710.jpg, 0, 0, 0, 7.819883E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_13_811.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_13_811.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_13_811.jpg, 0, 0, 0, 8.068598E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_13_912.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_13_912.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_13_912.jpg, 0, 0, 0, 7.7975E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_14_013.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_14_013.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_14_013.jpg, 0, 0, 0, 8.024009E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_14_114.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_14_114.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_14_114.jpg, 0, 0, 0, 8.058981E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_14_218.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_14_218.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_14_218.jpg, 0, 0, 0, 8.194635E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_14_320.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_14_320.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_14_320.jpg, 0, 0, 0, 8.215032E-05
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_14_422.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_14_422.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_14_422.jpg, 0, 0.1154889, 0, 0.0193451
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_14_524.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_14_524.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_14_524.jpg, 0, 0.4182777, 0, 0.3905409
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_14_626.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_14_626.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_14_626.jpg, 0, 0.7172787, 0, 1.038856
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_14_726.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_14_726.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_14_726.jpg, 0, 1, 0, 2.109452
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_14_827.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_14_827.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_14_827.jpg, -0.2137548, 1, 0, 3.275741
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_14_929.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_14_929.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_14_929.jpg, -0.5173734, 1, 0, 4.42228
D:\UWB\Self-Driving Car\Data\IMG\center_2021_05_28_19_28_15_029.jpg, D:\UWB\Self-Driving Car\Data\IMG\left_2021_05_28_19_28_15_029.jpg, D:\UWB\Self-Driving Car\Data\IMG\right_2021_05_28_19_28_15_029.jpg, -0.5417712, 1, 0, 5.549053
